"","cs1","cs2","cs3","symbol","fbgn","cs1.tpm","cs2.tpm","cs3.tpm","family","TPM.median"
"74",1.38936509609118,0.788225885918385,0.69308713062011,"Or45b","FBgn0033422",2.08144173392539,1.16894744914388,1.05771060958324,"Or",1.16894744914388
"75",1.4620138252121,0.377018887601927,0.530420416108305,"Gr47b","FBgn0041241",2.19027856675956,0.559123057000143,0.809467203864189,"Gr",0.809467203864189
"76",1.47670842488859,0.543004396868417,0.32740377692357,"Ir94c","FBgn0051423",2.21229290490295,0.805281348827672,0.499646340511113,"Ir",0.805281348827672
"77",1.49811293200746,0.515103994583702,0.407637912379531,"Gr94a","FBgn0041225",2.24435951902523,0.763904752773858,0.622090536303034,"Gr",0.763904752773858
"78",0.548184420544827,0.44428633702262,0.312528830125339,"Ir68a","FBgn0036150",0.821248449395929,0.658881406498039,0.476945891533798,"Ir",0.658881406498039
"79",0.98245435166346,0.132708090207633,0.420084871536158,"Or1a","FBgn0029521",1.47183882406582,0.196807522184105,0.641085667182516,"Or",0.641085667182516
"80",0.83361905765471,0.131370980986398,0.415852278372066,"Or49a","FBgn0033727",1.24886504035523,0.194824574857313,0.634626365749947,"Or",0.634626365749947
"81",0.147480733462085,0.418349835173261,0.44142608158746,"Gr10b","FBgn0030297",0.220944483520957,0.620417295869142,0.673654190381628,"Gr",0.620417295869142
"82",0.36528340605841,0.604437013511919,0.364444491200243,"Ir56a","FBgn0050125",0.547239979051908,0.896386578689523,0.55617365828417,"Ir",0.55617365828417
"83",0.393048415545035,0.371645696804749,0.13071524506232,"Or63a","FBgn0035382",0.588835416889582,0.551154557375438,0.199482713541353,"Or",0.551154557375438
"84",0.619750497919325,0.35160188394337,0.123665434092667,"Gr5a","FBgn0003747",0.928463335245371,0.521429367764178,0.188724095282943,"Gr",0.521429367764178
"85",0.456604257573013,0.345392579149668,0.273333368400182,"Ir100a","FBgn0039879",0.684049973814884,0.512220902108299,0.417130243713127,"Ir",0.512220902108299
"86",0.278809406814591,0.527254720656443,0,"Gr93b","FBgn0045470",0.417691171879552,0.781924409958077,0,"Gr",0.417691171879552
"87",0.542091344617395,0,0.270423185116642,"Or42a","FBgn0033041",0.812120263752708,0,0.412689053567123,"Or",0.412689053567123
"88",0.58214030939124,0.275220472040105,0,"Or71a","FBgn0036474",0.872118594584042,0.408154914081019,0,"Or",0.408154914081019
"89",0.268407758222968,0.126896057059854,0.401686993950633,"Gr2a","FBgn0265139",0.402108208451767,0.188188214643195,0.613008922634377,"Gr",0.402108208451767
"90",0.533941687412455,0.137690969511411,0.193714701688132,"Gr39a","FBgn0264556",0.799911063542287,0.204197185674737,0.2956253061927,"Gr",0.2956253061927
"91",0.183961515224525,0.43486058464369,0.0917695133483658,"Ir10a","FBgn0083979",0.275597232362995,0.644902914549915,0.140048175209966,"Ir",0.275597232362995
"92",0,0.172126334823762,0.272431278075429,"Ir85a","FBgn0037630",0,0.255265202040769,0.415753576242127,"Ir",0.255265202040769
"93",0,0.546118109440836,0.144060518772871,"Gr93d","FBgn0045468",0,0.809899017993226,0.219848749740601,"Gr",0.219848749740601
"94",0,0.401186765012306,0.141105431208299,"Or85c","FBgn0037591",0,0.594964278602716,0.215339031797204,"Or",0.215339031797204
"95",0.273058387697128,0.129094751117821,0.136215639037715,"Gr98b","FBgn0046887",0.409075429885337,0.191448901530577,0.207876788121063,"Gr",0.207876788121063
